Band,Capture,MaximumAbsoluteCH1V,MaximumAbsoluteCH2V,MaximumAbsoluteCH3V,MaximumAbsoluteCH4V,RecommendedTargetPeakV,RecommendedGeneratorAmplitudeMultiplier,MultiplierToSaturationThreshold,LimitingChannel
100mHzto1Hz_200s_25s_div,ALL0000_F0000,0.72,0.84,0.54,1.68,2,1.19047619047619,1.36904761904762,CH4
500mHzto5Hz_40s_5s_div,ALL0000_F0000,0.68,0.86,0.38,1.24,2,1.61290322580645,1.85483870967742,CH4
2.5Hzto25Hz_8s_1s_div,ALL0000_F0000,0.72,0.9,0.48,1.36,2,1.47058823529412,1.69117647058824,CH4
10Hzto100Hz_2s_250ms_div,ALL0000_F0000,0.72,0.92,0.54,1.16,2,1.72413793103448,1.98275862068966,CH4
50Hzto500Hz_400ms_50ms_div,ALL0000_F0000,0.68,0.92,0.4,1.12,2,1.78571428571429,2.05357142857143,CH4
250Hzto2.5kHz_80ms_10ms_div,ALL0000_F0000,0.76,0.82,0.36,0.68,2,2.4390243902439,2.80487804878049,CH2
1kHzto10kHz_20ms_2.5ms_div,ALL0000_F0000,0.96,1.68,0.456,0.712,2,1.19047619047619,1.36904761904762,CH2
5kHzto50kHz_4ms_500us_div,ALL0000_F0000,0.48,0.86,0.352,0.496,2,2.32558139534884,2.67441860465116,CH2
20kHzto200kHz_1ms_100us_div,root_F0000,0.26,0.46,0.336,0.528,2,3.78787878787879,4.35606060606061,CH4
